date,area,incident_type,severity,description,injury_flag
2026-01-08,プレスエリア,挟まれ,軽微,プレス機の材料セット時に指先を挟む。安全手袋により外傷なし,FALSE
2026-01-15,組立エリア,転倒,軽微,油漏れによる床面滑りで転倒。打撲,TRUE
2026-01-22,溶接エリア,火傷,中程度,スパッタ飛散による前腕の火傷。防護服の隙間から侵入,TRUE
2026-02-03,検査エリア,転倒,軽微,台車と接触し転倒。外傷なし,FALSE
2026-02-12,プレスエリア,落下物,軽微,棚から部品箱が落下。作業者の足に接触。安全靴により外傷なし,FALSE
2026-02-18,塗装エリア,その他,軽微,有機溶剤の臭気による体調不良。換気強化で対応,FALSE
2026-02-25,溶接エリア,火傷,軽微,高温部品に接触。手袋により軽度の火傷,TRUE
2026-03-03,組立エリア,切傷,軽微,バリ取り作業中に手を切傷。絆創膏処置,TRUE
2026-03-07,プレスエリア,挟まれ,中程度,金型交換作業中に手を挟む。腫れと打撲,TRUE
2026-03-10,溶接エリア,火傷,中程度,WLD-003の過熱時にカバーに接触し火傷。冷却不足が原因,TRUE
2026-03-12,溶接エリア,その他,軽微,WLD-003の異常停止時の煙により一時避難。健康被害なし,FALSE
2026-03-14,溶接エリア,落下物,軽微,WLD-003の振動により近くの工具が落下。作業者に接触なし,FALSE
2026-03-16,組立エリア,転倒,軽微,部品散乱による転倒。外傷なし,FALSE
2026-03-17,溶接エリア,火傷,軽微,WLD-003復旧作業中のスパッタによる軽度火傷,TRUE
2026-03-18,検査エリア,切傷,軽微,検査治具のエッジで切傷。絆創膏処置,TRUE
